step,wall_time,tag,type,value
29,1745198281.625271,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6343985795974731
30,1745199160.7597473,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5944221019744873
31,1745200038.8742654,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6286404132843018
32,1745200913.129218,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5039820671081543
33,1745201943.3655953,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.4802587628364563
34,1745202839.3993952,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.48949843645095825
35,1745203720.3452632,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6293584704399109
36,1745204589.385616,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5085489153862
37,1745205607.472565,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.49563735723495483
38,1745206470.3528209,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6265741586685181
39,1745207343.4607327,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6149296164512634
40,1745208209.3657784,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.41714245080947876
41,1745209076.0214865,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.632081925868988
42,1745209942.7680907,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.4766877591609955
43,1745210815.386783,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5792927742004395
44,1745211689.1709144,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5021985173225403
45,1745212555.2647583,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5670853853225708
46,1745213417.3605173,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5296894311904907
47,1745214282.567018,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6424543857574463
48,1745215148.0735397,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5854563117027283
49,1745216019.6728003,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6154672503471375
50,1745216894.0835617,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.42843014001846313
